Gender,Age,Annual_Income,Employment_Status,Years_of_Employment,Education_Level,Marital_Status,Number_of_Dependents,Existing_Loan_Amount,Monthly_Income,Credit_Score,Loan_Status,Credit_History,Number_of_Credit_Inquiries,Debt_to_Income_Ratio,Approval_Status
Female,26,62510.88,Employed,5.0,Bachelor,Married,1,7068.47,4918.53,686.0,None,Good,0,0.4004,Approved
Female,33,85399.44,Employed,4.8,Master,Single,1,36547.77,6137.64,629.0,Closed,Good,0,0.5714,Approved
Female,55,131079.16,Employed,5.4,PhD,Married,0,59035.44,9292.78,645.0,None,Good,1,0.7008,Approved
Female,39,131649.41,Unemployed,7.2,Bachelor,Married,3,3445.74,10360.05,748.0,Default,Good,0,0.1084,Approved
Male,31,118157.85,Employed,8.4,Bachelor,Married,2,12422.89,9362.52,575.0,Active,Average,3,0.3685,Approved
Female,33,86506.78,Employed,0.3,Bachelor,Married,0,20552.75,6299.41,655.0,Closed,Average,1,0.4084,Rejected
Male,52,57747.87,Employed,18.1,PhD,Married,1,7014.79,4727.31,686.0,None,Good,2,0.2555,Approved
Male,53,145965.82,Self-Employed,10.2,Bachelor,Single,3,9229.73,12041.71,589.0,Active,Good,5,,Approved
Female,64,76686.11,Employed,0.2,Bachelor,Divorced,1,19504.8,6149.59,690.0,None,Poor,0,0.5348,Approved
Female,35,65338.96,Employed,0.9,Master,Single,3,18939.71,5194.89,699.0,None,Poor,0,0.4266,Approved
Male,49,64994.11,Employed,1.4,PhD,Single,0,26189.56,5282.85,673.0,None,Good,6,0.5849,Approved
Female,58,116202.31,Retired,9.8,Bachelor,Single,4,35081.66,8680.89,595.0,Active,Good,4,0.3248,Approved
Male,61,79047.87,Self-Employed,3.5,High School,Single,0,5952.74,6452.38,698.0,None,Poor,5,0.0988,Approved
Female,55,80807.33,Employed,3.1,High School,Single,0,18388.69,5999.4,526.0,None,Average,5,0.4974,Rejected
Female,35,24458.73,Unemployed,2.3,High School,Divorced,3,237.82,1884.62,622.0,Closed,Average,5,0.0321,Rejected
Female,52,72886.94,Employed,1.8,High School,Single,2,669.04,5581.98,620.0,Default,Average,7,0.1664,Rejected
Female,64,60248.1,Employed,1.6,High School,Single,3,6066.96,4508.65,686.0,None,Poor,3,0.3995,Approved
Male,50,47565.83,Employed,5.8,Master,Married,4,12298.57,3431.73,729.0,Default,Good,7,0.3519,Approved
Male,44,95910.45,Employed,7.0,Master,Divorced,1,22101.06,6892.48,546.0,Active,Average,5,0.3886,Rejected
Female,23,105306.39,Employed,4.2,Bachelor,Married,1,49156.66,8080.07,643.0,Closed,Good,2,0.6546,Approved
Female,54,55145.32,Employed,1.9,Bachelor,Married,4,20322.8,4473.27,423.0,Active,Good,5,0.4918,Rejected
Male,34,54114.09,Employed,3.3,Other,Married,3,9368.94,3996.62,758.0,None,Good,4,0.398,Approved
Female,24,73242.92,Employed,6.0,Bachelor,Married,1,13913.38,5902.24,591.0,None,Poor,0,0.2664,Approved
Female,61,49192.73,Employed,1.5,PhD,Single,2,9076.5,3770.73,708.0,None,Good,1,0.447,Approved
Female,59,79321.19,Employed,0.8,Bachelor,Divorced,3,4105.38,5787.9,655.0,None,Average,4,0.2662,Approved
Female,48,146366.95,Employed,0.6,PhD,Single,1,41098.7,11939.87,510.0,None,Average,0,0.4135,Approved
Female,45,76426.35,Employed,0.2,Bachelor,Married,2,18346.45,6196.36,505.0,Default,Average,6,0.2889,Rejected
Female,37,26565.97,Employed,6.4,Bachelor,Married,4,10436.03,1896.33,671.0,None,Good,2,0.4499,Approved
Male,25,36399.9,Employed,2.8,High School,Married,4,13802.57,2634.42,666.0,None,Average,6,0.5769,Approved
Female,28,143477.8,Unemployed,2.1,Master,Single,0,4609.42,11158.08,605.0,Default,Poor,0,0.0803,Approved
Female,56,68560.24,Employed,6.3,Bachelor,Single,1,27056.98,5430.52,640.0,None,No History,1,0.4401,Rejected
Male,50,35589.84,Employed,10.1,High School,Single,3,9468.44,2663.63,632.0,Active,Good,0,0.3868,Approved
Female,52,91978.12,Employed,2.2,Master,Divorced,0,23572.9,6731.71,753.0,None,Good,5,0.2932,Approved
Male,36,148038.92,Self-Employed,5.7,Bachelor,Married,0,70005.73,10626.72,652.0,Closed,Good,5,0.6847,Rejected
Male,58,40039.18,Employed,5.9,High School,Married,1,12677.78,3264.35,572.0,None,Average,2,0.4434,Rejected
Male,60,121132.79,Employed,4.3,Bachelor,Married,1,19709.41,9854.16,652.0,None,Poor,0,0.4312,Approved
Male,48,116060.68,Employed,4.9,Master,Divorced,3,33217.01,9399.87,560.0,None,Average,5,0.4375,Approved
Female,32,87097.52,Self-Employed,5.8,High School,Married,2,13271.96,6501.29,735.0,None,Good,4,0.2103,Approved
Male,24,88529.29,Employed,1.0,Bachelor,Single,1,9312.05,7083.33,571.0,None,Average,3,0.3581,Rejected
Male,34,117969.32,Employed,7.4,PhD,Married,4,44864.12,9765.36,705.0,Active,Good,3,,Rejected
Male,23,72611.76,Unemployed,2.3,Master,Married,0,1456.76,5347.74,638.0,Active,Good,3,0.1321,Approved
Male,51,133203.63,Employed,2.5,High School,Single,4,56869.03,10289.01,514.0,Active,Good,7,0.4308,Approved
Female,33,108225.81,Employed,8.2,High School,Divorced,4,18227.81,8235.39,658.0,None,Average,5,0.2499,Approved
Female,54,146297.13,Employed,7.9,PhD,Married,1,69226.24,10867.88,687.0,Default,Good,3,0.5493,Rejected
Female,43,83480.25,Self-Employed,7.7,Bachelor,Married,3,15418.08,6265.6,779.0,Active,Average,0,0.382,Approved
Male,27,55391.27,Employed,9.0,Master,Married,2,12633.61,4189.54,675.0,None,Poor,7,0.4385,Approved
Female,40,148598.17,Employed,6.1,Bachelor,Married,2,42549.81,10835.59,706.0,Active,Good,7,0.4849,Approved
Female,52,115617.69,Unemployed,0.6,Bachelor,Married,0,16919.0,9148.91,607.0,None,No History,4,0.4146,Rejected
Male,34,111873.42,Employed,13.5,High School,Single,2,51274.0,8341.15,537.0,Active,Average,3,0.6786,Approved
Male,38,127201.43,Employed,2.9,Other,Single,0,53424.49,9977.39,614.0,None,No History,2,0.675,Approved
Female,60,42885.16,Retired,9.2,Bachelor,Single,0,4528.85,3459.33,694.0,None,Good,2,0.1943,Approved
Female,47,76944.38,Employed,4.2,High School,Married,0,28066.11,6278.37,,None,Average,0,0.5188,Rejected
Female,54,135227.92,Self-Employed,18.3,Bachelor,Single,0,29635.11,10994.94,725.0,None,Average,7,,Rejected
Male,42,94006.58,Employed,8.2,High School,Married,3,33669.65,7612.86,660.0,Closed,Average,4,0.5745,Approved
Female,45,24087.97,Employed,7.2,PhD,Married,4,3881.3,1924.98,626.0,None,Good,7,0.3195,Approved
Male,23,88883.83,Employed,3.3,Master,Married,4,22187.31,6979.12,744.0,Active,Good,1,0.4738,Approved
Male,63,141679.24,Employed,2.1,Master,Married,3,50385.8,11236.56,786.0,None,Good,4,0.5809,Approved
Male,51,129302.06,Employed,2.3,Master,Single,3,18067.99,9212.92,588.0,Active,Good,1,0.1614,Approved
Female,21,20695.37,Employed,3.0,Bachelor,Divorced,2,8345.37,1659.49,636.0,Active,Average,5,0.4456,Approved
Male,28,30230.81,Employed,0.9,High School,Single,1,12180.87,2369.5,580.0,Default,Good,2,0.5419,Approved
Male,56,36664.45,Employed,1.5,Bachelor,Divorced,4,11048.28,2792.01,715.0,Closed,No History,1,0.3603,Approved
Female,42,69143.24,Employed,6.3,Master,Married,4,29659.58,4986.62,583.0,Active,Good,4,0.5263,Approved
Female,26,24007.2,Retired,8.0,Master,Divorced,4,8149.25,1964.35,478.0,None,Good,2,0.5041,Approved
Male,64,44255.2,Employed,8.1,Master,Divorced,4,21825.56,3283.75,638.0,None,Good,4,0.5887,Approved
Male,38,76096.06,Employed,14.1,Master,Married,4,2677.37,5608.84,515.0,Closed,No History,6,0.1415,Approved
Male,64,92890.28,Self-Employed,1.1,Bachelor,Divorced,1,37788.5,6690.1,658.0,Closed,Good,5,0.6698,Rejected
Female,61,93881.49,Employed,8.6,Master,Single,2,40670.75,7165.71,645.0,Closed,Average,1,0.4687,Rejected
Male,62,73367.96,Employed,0.7,Bachelor,Single,2,15018.02,5409.07,590.0,None,Good,6,0.2641,Approved
Female,29,21098.69,Employed,3.9,Master,Single,1,4596.71,1715.82,657.0,Active,Average,5,0.412,Approved
Male,55,47306.15,Employed,1.9,Master,Married,0,11910.98,3583.88,727.0,None,Good,6,0.2743,Approved
Female,62,62192.03,Employed,0.2,PhD,Married,4,4053.42,5012.95,639.0,Active,Good,0,0.3085,Rejected
Male,52,119967.43,Employed,3.2,High School,Divorced,4,24650.94,9167.67,778.0,None,Poor,0,0.3364,Approved
Male,60,,Employed,2.1,Bachelor,Single,0,2556.53,3402.26,690.0,Active,No History,6,0.1664,Approved
Female,64,145946.14,Employed,7.8,High School,Divorced,2,20350.14,12147.39,762.0,Active,Average,3,0.1909,Approved
Female,50,51728.32,Employed,20.1,PhD,Single,4,3323.95,4157.65,526.0,None,Good,6,0.1467,Rejected
Male,63,138931.51,Employed,2.6,Master,Single,0,50828.46,10452.31,694.0,None,Poor,6,0.6073,Approved
Male,55,58697.58,Employed,12.2,Bachelor,Divorced,2,9240.21,4641.83,682.0,None,Average,0,0.4458,Approved
Male,49,148837.35,Employed,2.6,Master,Married,3,56300.6,10732.32,585.0,Active,Good,4,0.406,Approved
Female,28,81517.71,Self-Employed,3.4,Bachelor,Single,2,13713.77,6403.62,726.0,Closed,Poor,1,0.2914,Rejected
Female,64,103487.25,Employed,0.6,Other,Divorced,4,5121.0,7648.09,641.0,None,Good,1,0.1302,Approved
Male,53,33097.87,Employed,2.5,Bachelor,Single,3,10637.22,2637.15,727.0,Default,Good,5,0.4869,Rejected
Male,27,63337.82,Employed,4.2,Bachelor,Married,1,4113.75,4842.01,699.0,Active,Average,0,0.2848,Approved
Female,43,66990.49,Unemployed,3.0,PhD,Married,2,31840.79,5396.37,689.0,Active,No History,6,0.7304,Rejected
Female,31,61624.21,Retired,2.6,Bachelor,Single,3,13580.59,5068.68,674.0,Closed,Average,0,0.2946,Approved
Male,56,116500.33,Employed,18.2,Master,Married,0,28119.01,9374.02,494.0,Closed,No History,3,0.3255,Approved
Male,59,105142.34,Employed,0.0,Bachelor,Married,4,13789.68,7819.91,649.0,None,Poor,0,0.3914,Rejected
Male,24,100044.39,Employed,2.7,Bachelor,Divorced,4,32257.11,7950.55,728.0,None,Good,5,0.4878,Approved
Male,24,33409.08,Self-Employed,6.0,Bachelor,Married,3,8344.73,2760.29,630.0,None,Average,1,0.3653,Approved
Male,50,67214.59,Self-Employed,1.1,PhD,Divorced,3,21873.86,4804.95,599.0,None,Good,1,0.4713,Rejected
Female,63,28968.7,Employed,1.7,High School,Single,0,7583.16,2412.54,796.0,Active,Good,0,0.5426,Approved
Female,36,118505.54,Self-Employed,5.8,Bachelor,Single,2,24139.89,9256.86,701.0,None,Good,1,,Approved
Male,40,147528.22,Employed,11.4,Bachelor,Married,3,27990.63,12158.56,794.0,Closed,Good,3,0.2216,Rejected
Male,55,64442.53,Self-Employed,7.2,Bachelor,Single,2,16920.7,4700.22,679.0,Active,Average,6,0.3565,Approved
Male,24,26389.84,Employed,2.0,Bachelor,Divorced,1,5432.98,1871.03,655.0,Closed,No History,5,0.4112,Approved
Female,38,46551.02,Employed,2.0,Master,Single,4,1992.37,3441.21,631.0,Active,Good,6,0.1856,Approved
Female,27,28153.88,Employed,3.4,Bachelor,Single,4,8290.42,2281.22,634.0,None,Good,0,0.4892,Approved
Female,36,113980.99,Self-Employed,11.7,High School,Single,1,4246.39,9228.23,622.0,Closed,Poor,6,0.1714,Approved
Male,60,110775.44,Employed,0.1,Bachelor,Single,1,14347.37,8134.29,671.0,None,Good,7,0.2016,Approved
Male,62,148169.95,Self-Employed,0.4,Bachelor,Married,1,63547.54,11680.65,635.0,None,Poor,2,0.4605,Rejected
Male,36,111553.68,Employed,11.7,PhD,Married,4,44793.02,8680.67,702.0,None,Poor,4,0.5714,Approved
Male,64,36239.58,Employed,9.0,Bachelor,Single,1,9936.91,2579.05,691.0,None,Poor,3,0.5242,Rejected
Male,36,78938.18,Employed,7.2,Bachelor,Single,0,31175.24,6101.71,644.0,Active,Average,5,0.5296,Approved
Female,62,56055.08,Self-Employed,2.0,Master,Single,2,1868.94,4321.07,613.0,None,No History,0,0.1107,Approved
Female,44,144700.61,Unemployed,7.8,Bachelor,Single,2,41793.98,11544.09,572.0,Closed,Poor,7,0.4238,Rejected
Female,34,79082.76,Retired,3.0,PhD,Single,2,39427.97,5808.58,459.0,None,Average,2,0.6342,Rejected
Male,52,94337.74,Employed,1.3,PhD,Single,2,36948.17,6981.36,,Active,Good,7,0.4267,Approved
Female,52,144994.96,Employed,5.1,Master,Married,2,14995.17,10717.69,618.0,Closed,Good,0,0.2663,Approved
Female,27,136541.47,Employed,6.6,Other,Single,4,64514.81,10757.57,646.0,Default,No History,7,0.6942,Rejected
Male,34,149428.55,Retired,1.7,Master,Married,0,1684.75,11056.46,719.0,Active,Poor,7,0.1444,Approved
Female,49,20392.71,Employed,13.1,Bachelor,Single,3,7347.36,1507.68,433.0,Closed,Good,3,0.4013,Approved
Male,49,132772.01,Employed,0.8,Other,Single,0,20984.94,9881.92,585.0,Active,Good,3,0.3243,Approved
Female,42,145867.03,Employed,10.8,Other,Divorced,2,51972.53,12015.06,502.0,None,Poor,1,0.3708,Approved
Male,41,105976.85,Employed,3.8,Bachelor,Married,4,36034.57,7649.49,803.0,Active,Good,7,0.6306,Rejected
Female,24,144263.11,Employed,5.4,Bachelor,Married,3,48630.52,11542.45,640.0,None,Good,5,0.5949,Rejected
Female,35,144751.4,Unemployed,2.2,Master,Divorced,3,55876.34,10900.03,651.0,None,Average,4,0.5853,Rejected
Male,62,83416.97,Employed,1.1,PhD,Single,3,16398.54,6236.72,662.0,Active,Good,5,0.249,Approved
Male,40,48054.55,Employed,0.1,Master,Married,0,11300.61,3499.15,596.0,None,Good,6,0.468,Approved
Male,31,88853.79,Unemployed,3.7,PhD,Married,2,60.22,6680.07,624.0,Active,Good,4,0.2149,Approved
Male,30,134073.6,Employed,12.0,Master,Married,3,50882.81,10197.64,630.0,Default,Average,4,0.384,Approved
Male,52,56013.31,Employed,1.7,Other,Married,2,13085.87,4571.39,620.0,Active,No History,1,0.3001,Approved
Male,31,98553.74,Employed,1.5,Bachelor,Married,0,24460.98,7999.88,518.0,Closed,No History,7,0.3802,Rejected
Female,64,95901.57,Employed,3.0,Bachelor,Single,3,9759.69,7238.33,606.0,None,Average,7,0.3878,Approved
Male,58,42321.11,Self-Employed,3.9,Bachelor,Single,2,1271.18,3343.6,655.0,None,Poor,7,0.1799,Approved
Female,35,71305.81,Self-Employed,2.7,High School,Single,4,21612.87,5662.79,527.0,None,Good,0,0.4315,Rejected
Female,28,81252.43,Employed,1.5,Master,Married,4,36806.28,6337.76,560.0,Active,Poor,7,0.6039,Rejected
Male,55,135585.52,Self-Employed,3.7,Master,Married,4,17524.47,11036.48,589.0,Default,Poor,7,0.278,Rejected
Female,44,66275.89,Employed,1.5,High School,Married,3,12786.59,4929.91,694.0,Active,Good,6,0.3371,Approved
Male,22,115429.56,Employed,4.0,High School,Single,3,5993.07,8220.66,591.0,None,No History,2,0.3314,Approved
Female,56,70056.59,Employed,0.6,High School,Single,3,8869.43,5610.02,775.0,Active,No History,3,0.1759,Approved
Female,42,73483.42,Employed,0.7,Master,Single,1,4080.66,6075.61,606.0,None,Good,5,0.2874,Approved
Female,43,84456.53,Employed,11.3,High School,Married,0,21503.58,6755.37,670.0,None,Good,1,0.4696,Approved
Female,64,53574.37,Employed,24.2,Bachelor,Married,3,11112.6,4116.82,599.0,Closed,Good,4,0.364,Approved
Female,64,31237.95,Unemployed,1.4,Bachelor,Single,1,6508.35,2509.23,616.0,Active,Good,7,0.307,Approved
Female,59,60142.14,Employed,8.0,PhD,Single,4,1478.25,4479.92,496.0,Active,No History,3,0.1143,Approved
Male,52,25834.53,Employed,5.9,High School,Married,3,5693.48,2127.08,611.0,None,Poor,7,0.2847,Approved
Male,31,110379.86,Employed,4.2,High School,Divorced,4,38182.98,8395.31,647.0,Active,Good,1,0.621,Approved
Female,51,42043.26,Employed,2.2,High School,Married,3,9014.89,3407.65,657.0,None,Average,3,0.2443,Approved
Female,28,95216.1,Employed,10.0,Bachelor,Divorced,0,7528.1,6833.85,717.0,Active,Good,5,0.3132,Rejected
Male,22,45442.01,Employed,4.0,Master,Married,3,10083.21,3234.63,630.0,None,Average,2,0.255,Approved
Female,26,130162.8,Employed,0.6,Master,Single,4,14800.92,9800.55,668.0,Closed,Good,1,0.1459,Approved
Female,35,145369.84,Employed,1.5,Bachelor,Married,2,56804.95,10505.17,728.0,None,Average,6,0.6869,Rejected
Male,57,133765.73,Employed,4.1,Master,Divorced,1,22799.23,9519.55,603.0,Closed,Poor,5,0.2498,Approved
Female,58,75323.24,Self-Employed,2.5,Master,Single,4,16179.53,5852.76,727.0,Closed,Average,0,0.423,Approved
Male,31,99547.53,Employed,6.1,Bachelor,Single,2,46917.23,7516.07,778.0,None,Good,1,0.6251,Approved
Female,41,122800.5,Employed,0.2,Bachelor,Married,3,44509.67,9272.35,602.0,None,Average,0,0.6181,Approved
Female,34,79576.82,Employed,12.3,Master,Married,2,30656.23,6292.65,656.0,None,Average,5,0.6291,Rejected
Female,47,69654.54,Employed,6.2,Master,Married,2,29020.67,5425.19,500.0,None,Good,3,0.5728,Approved
Female,42,75228.0,Retired,5.5,Bachelor,Single,1,19462.71,5720.83,576.0,Closed,No History,3,0.5447,Rejected
Female,35,143577.22,Employed,1.1,Master,Single,4,58278.93,11711.95,592.0,Default,Good,6,0.5237,Approved
Male,37,117718.37,Employed,3.6,Bachelor,Married,1,46156.62,8960.63,,None,Poor,6,0.4056,Approved
Female,25,101253.48,Employed,0.5,High School,Divorced,1,35548.29,8253.02,619.0,None,Average,6,0.387,Approved
Male,55,36215.69,Employed,2.2,Master,Married,0,14480.45,2650.55,642.0,None,Good,5,0.4666,Approved
Female,44,98364.98,Employed,5.4,Master,Divorced,4,47259.66,8179.86,643.0,None,Average,5,0.769,Rejected
Male,43,108302.11,Employed,4.4,Bachelor,Single,2,35792.43,8012.93,729.0,Default,Average,1,0.5685,Approved
Male,23,74583.15,Retired,5.0,Master,Married,3,18499.44,5756.73,601.0,None,No History,4,0.3412,Approved
Male,39,63356.61,Employed,3.4,Bachelor,Divorced,1,27051.64,4661.17,693.0,None,Good,2,0.5315,Approved
Male,23,90986.49,Retired,5.0,Master,Divorced,0,32795.77,7116.26,618.0,None,No History,2,0.4285,Approved
Male,26,32127.36,Employed,8.0,PhD,Married,2,8121.57,2572.38,616.0,None,Good,1,0.5365,Approved
Female,42,122947.85,Employed,0.1,Bachelor,Married,2,55990.14,9604.82,638.0,None,Poor,7,0.6924,Rejected
Female,39,85188.16,Retired,3.0,Bachelor,Married,2,31384.04,6588.77,597.0,None,Good,1,0.398,Rejected
Female,47,109695.37,Employed,6.1,Bachelor,Married,4,12997.82,8229.07,737.0,None,Average,6,0.2652,Approved
Male,49,120205.89,Self-Employed,1.4,Bachelor,Single,2,59473.06,9006.26,735.0,None,Poor,7,0.5337,Rejected
Male,39,58537.29,Unemployed,1.9,Other,Married,4,22197.59,4351.37,613.0,None,No History,7,0.4935,Rejected
Female,36,74336.04,Employed,6.4,Bachelor,Married,0,34744.63,6141.62,589.0,Closed,No History,0,0.6871,Approved
Female,53,93459.59,Self-Employed,3.4,Bachelor,Divorced,2,15918.74,7728.37,628.0,None,Good,7,0.3947,Approved
Male,52,112082.13,Employed,4.1,Bachelor,Married,4,27629.26,8454.51,612.0,None,No History,6,0.3575,Approved
Male,37,147057.98,Employed,11.8,Other,Single,2,52681.78,11967.31,556.0,None,Average,0,0.469,Approved
Female,45,81375.18,Unemployed,1.4,High School,Single,2,30613.44,6153.57,529.0,Closed,Good,0,0.4736,Rejected
Female,29,128613.2,Employed,3.7,Master,Married,2,35155.1,9371.59,685.0,None,Average,4,0.3315,Approved
Female,59,44930.55,Employed,10.3,High School,Single,1,12673.27,3210.7,716.0,Default,Average,2,0.4049,Approved
Male,27,133957.76,Employed,4.0,Bachelor,Married,4,38850.33,11016.6,627.0,Active,Good,6,0.3606,Approved
Female,39,109300.56,Employed,4.1,High School,Married,0,17057.9,8143.81,513.0,None,Average,0,0.2782,Rejected
Male,62,59692.37,Employed,0.8,Other,Single,4,243.13,4897.19,749.0,Default,Average,7,0.1688,Approved
Male,40,127726.73,Employed,1.0,Master,Single,0,42255.4,10361.12,702.0,None,Good,5,0.4201,Approved
Female,34,29036.14,Employed,4.1,High School,Single,1,4692.15,2409.58,652.0,Closed,Good,3,0.3994,Approved
Female,41,59634.32,Unemployed,0.4,Other,Divorced,1,586.9,4962.2,636.0,Default,Average,0,0.1438,Approved
Female,42,114262.11,Employed,4.5,High School,Single,4,55923.07,8266.39,609.0,Active,Poor,2,0.5128,Approved
Male,43,30705.39,Employed,2.8,High School,Married,4,5578.01,2176.0,576.0,None,Good,6,0.2705,Approved
Male,59,80414.22,Retired,15.0,High School,Single,1,1584.54,6314.81,652.0,Closed,Good,2,0.0678,Approved
Male,49,113641.98,Employed,2.5,Bachelor,Married,1,27879.08,8801.72,680.0,Default,Good,6,0.5271,Approved
Male,54,30175.68,Employed,2.7,High School,Single,2,9114.8,2489.52,731.0,None,Poor,5,0.5344,Approved
Female,25,38931.74,Employed,3.2,Master,Married,2,2251.72,2773.94,617.0,None,Average,2,0.1592,Approved
Female,41,134623.93,Employed,5.4,Master,Married,2,22904.58,10947.22,528.0,None,Good,0,0.3019,Rejected
Female,36,65816.67,Employed,0.9,High School,Single,1,5155.0,5248.62,689.0,None,Good,5,0.1606,Approved
Female,24,66230.86,Employed,6.0,High School,Single,0,23441.16,5346.21,563.0,Default,Average,6,0.4666,Approved
Female,54,83728.86,Self-Employed,8.8,Bachelor,Divorced,3,20660.48,6305.78,652.0,None,No History,1,0.2925,Approved
Male,58,41472.49,Employed,3.2,PhD,Single,0,15378.06,3415.31,518.0,None,Good,2,0.5396,Approved
Female,35,58332.53,Employed,1.6,Bachelor,Married,4,27309.91,4797.91,604.0,None,Good,4,0.6491,Approved
Female,41,74125.43,Retired,15.4,PhD,Divorced,1,25910.78,6022.37,737.0,None,Good,7,0.5184,Approved
Male,23,25102.9,Employed,5.0,Bachelor,Married,4,5171.12,1873.97,850.0,Active,Good,0,0.4179,Approved
Male,22,143246.93,Retired,3.5,Bachelor,Married,0,5347.53,10269.76,484.0,None,Good,5,0.2833,Approved
Female,55,77025.2,Employed,9.4,Bachelor,Single,4,7968.88,5834.68,657.0,None,Average,2,0.1727,Approved
Female,47,64993.94,Employed,2.2,High School,Married,4,4578.95,4743.97,649.0,None,Average,5,0.3284,Rejected
Female,45,113399.82,Employed,3.1,Bachelor,Married,1,44173.06,9124.09,646.0,None,Good,7,0.431,Approved
Female,64,60764.77,Employed,3.6,PhD,Married,0,9472.55,4941.22,781.0,None,Average,5,0.3863,Approved
Female,33,141032.51,Employed,5.2,Bachelor,Divorced,1,34683.9,11473.14,608.0,None,Average,3,0.4185,Approved
Male,29,146211.05,Employed,5.0,High School,Married,4,72084.09,12088.26,630.0,Closed,Good,2,0.6361,Approved
Male,59,24534.44,Employed,0.6,Master,Single,4,4818.39,1863.68,676.0,None,Average,1,0.3259,Rejected
Male,29,119189.86,Retired,6.2,Master,Single,3,55170.11,9313.56,648.0,None,Average,0,0.5611,Approved
Female,30,59625.71,Employed,4.5,Master,Divorced,1,15907.83,4414.65,605.0,Active,Average,3,0.4652,Approved
Female,24,55709.37,Employed,3.2,Bachelor,Single,2,27297.21,4397.78,704.0,None,Average,2,0.6327,Approved
Male,42,35450.84,Retired,11.0,Bachelor,Married,0,12934.23,2517.73,683.0,None,Good,7,0.6638,Approved
Male,48,103973.7,Employed,9.9,Master,Married,4,4082.38,8629.25,658.0,Default,Poor,7,0.1401,Approved
Male,61,103687.31,Employed,0.2,Bachelor,Married,4,9051.07,7778.83,598.0,None,Good,3,0.1489,Approved
Male,53,115472.6,Employed,16.7,Bachelor,Married,2,38879.13,9008.65,669.0,None,Poor,1,0.4204,Approved
Male,36,123227.88,Employed,4.3,High School,Married,1,51196.41,10221.12,751.0,Default,Good,4,0.6383,Approved
Female,36,95376.83,Employed,0.8,PhD,Married,3,10111.27,7197.08,635.0,Active,Average,2,0.3783,Rejected
Female,48,104131.81,Employed,7.5,Bachelor,Single,3,42862.03,8270.09,780.0,None,Average,0,0.7061,Approved
Female,34,142016.13,Self-Employed,2.0,Bachelor,Single,1,36316.11,10155.16,569.0,None,Good,1,0.4265,Approved
Female,43,106697.7,Employed,4.4,Master,Married,0,41075.06,7869.88,581.0,None,Good,1,0.55,Approved
Male,30,146890.36,Employed,1.0,Bachelor,Married,2,28627.12,12161.89,642.0,None,No History,5,0.4801,Approved
Male,55,62223.86,Retired,0.2,Master,Single,0,18151.81,4635.72,,Active,Good,0,0.433,Approved
Female,59,68573.31,Self-Employed,3.2,Master,Married,0,32206.65,5142.64,681.0,None,Good,2,0.6985,Approved
Male,58,75811.77,Self-Employed,4.6,High School,Divorced,2,1081.08,6285.48,556.0,Closed,Average,7,0.1917,Rejected
Female,42,55132.35,Employed,13.8,High School,Divorced,1,9504.46,4252.98,655.0,None,Good,2,0.2657,Approved
Female,28,81007.69,Self-Employed,2.3,Bachelor,Married,3,26033.69,5856.12,672.0,None,Good,0,0.5643,Approved
Female,54,138918.01,Self-Employed,4.7,Bachelor,Divorced,2,10289.23,10772.38,601.0,Default,Poor,4,0.147,Approved
Female,34,63810.36,Employed,3.7,Bachelor,Married,1,14107.01,4622.8,679.0,None,Good,2,0.2988,Approved
Male,34,100345.68,Employed,1.9,Bachelor,Single,3,24424.49,7186.96,673.0,None,Average,2,0.4918,Approved
Male,28,147584.04,Employed,6.1,Bachelor,Single,3,39965.42,11076.96,587.0,None,Average,2,0.3667,Approved
Female,38,117111.1,Employed,1.1,Master,Married,0,25771.92,9636.19,580.0,None,Good,0,0.2319,Approved
Female,28,140200.97,Employed,4.9,High School,Married,3,62262.54,10627.69,805.0,None,Good,7,0.7015,Approved
Male,36,49785.16,Employed,3.2,PhD,Married,2,837.64,3670.7,819.0,None,Good,0,0.1424,Approved
Male,50,43963.08,Employed,7.2,Bachelor,Single,1,10316.45,3149.68,728.0,Closed,Good,5,0.4529,Rejected
Male,56,21744.98,Employed,0.4,Bachelor,Married,4,10103.59,1655.21,810.0,None,Good,4,0.7604,Approved
Male,25,145057.1,Employed,5.2,Bachelor,Divorced,4,45646.2,11585.65,667.0,Closed,Average,6,0.57,Approved
Female,53,111699.47,Employed,10.4,Bachelor,Married,4,30472.09,8319.16,573.0,None,Poor,0,0.4744,Approved
Male,26,145929.89,Employed,2.1,Bachelor,Married,0,1234.66,10489.65,586.0,Active,Good,6,0.1723,Approved
Female,47,147941.44,Unemployed,0.2,High School,Single,1,68233.23,10515.99,565.0,None,Good,0,0.4647,Approved
Female,21,140407.06,Employed,3.0,Bachelor,Divorced,4,27937.71,10100.72,717.0,None,No History,1,0.3071,Approved
Female,62,98484.47,Employed,5.5,High School,Married,0,5324.24,7961.33,780.0,None,Good,4,0.1033,Approved
Male,22,126718.25,Unemployed,3.9,High School,Divorced,3,2881.99,10215.36,626.0,None,Average,6,0.2443,Rejected
Female,38,26050.4,Employed,1.8,Bachelor,Single,0,12418.69,1846.65,567.0,Active,Good,0,0.5935,Approved
Female,34,144230.78,Unemployed,1.1,Master,Married,1,29860.66,10267.97,795.0,None,Average,7,0.2972,Approved
Male,45,52507.38,Employed,0.7,Bachelor,Divorced,0,3729.64,3993.0,724.0,Active,Good,1,0.3199,Approved
